season,week,celebrity_name,ballroom_partner,judge1,judge2,judge3,judge4,total_judge_score,eliminated_flag,results,placement,industry
1,1,John O'Hurley,Charlotte Jorgensen,7.0,7.0,6.0,,20.0,0,2nd Place,2,Actor/Actress
1,1,Rachel Hunter,Jonathan Roberts,7.0,6.0,7.0,,20.0,0,Eliminated Week 4,4,Model
1,1,Joey McIntyre,Ashly DelGrosso,7.0,7.0,6.0,,20.0,0,3rd Place,3,Singer/Rapper
1,1,Evander Holyfield,Edyta Sliwinska,5.0,7.0,6.0,,18.0,0,Eliminated Week 3,5,Athlete
1,1,Trista Sutter,Louis van Amstel,6.0,6.0,6.0,,18.0,0,Eliminated Week 2,6,TV Personality
1,1,Kelly Monaco,Alec Mazo,5.0,4.0,4.0,,13.0,0,1st Place,1,Actor/Actress
1,2,John O'Hurley,Charlotte Jorgensen,8.0,9.0,9.0,,26.0,0,2nd Place,2,Actor/Actress
1,2,Rachel Hunter,Jonathan Roberts,8.0,8.0,8.0,,24.0,0,Eliminated Week 4,4,Model
1,2,Joey McIntyre,Ashly DelGrosso,8.0,7.0,6.0,,21.0,0,3rd Place,3,Singer/Rapper
1,2,Trista Sutter,Louis van Amstel,6.0,7.0,6.0,,19.0,1,Eliminated Week 2,6,TV Personality
1,2,Kelly Monaco,Alec Mazo,5.0,6.0,6.0,,17.0,0,1st Place,1,Actor/Actress
1,2,Evander Holyfield,Edyta Sliwinska,5.0,4.0,5.0,,14.0,0,Eliminated Week 3,5,Athlete
1,3,Rachel Hunter,Jonathan Roberts,8.0,9.0,9.0,,26.0,0,Eliminated Week 4,4,Model
1,3,John O'Hurley,Charlotte Jorgensen,9.0,8.0,7.0,,24.0,0,2nd Place,2,Actor/Actress
1,3,Joey McIntyre,Ashly DelGrosso,7.0,7.0,8.0,,22.0,0,3rd Place,3,Singer/Rapper
1,3,Kelly Monaco,Alec Mazo,6.0,7.0,8.0,,21.0,0,1st Place,1,Actor/Actress
1,3,Evander Holyfield,Edyta Sliwinska,5.0,4.0,4.0,,13.0,1,Eliminated Week 3,5,Athlete
1,4,Kelly Monaco,Alec Mazo,9.0,9.0,8.0,,26.0,0,1st Place,1,Actor/Actress
1,4,Rachel Hunter,Jonathan Roberts,7.0,9.0,9.0,,25.0,1,Eliminated Week 4,4,Model
1,4,John O'Hurley,Charlotte Jorgensen,7.0,8.0,6.0,,21.0,0,2nd Place,2,Actor/Actress
1,4,Joey McIntyre,Ashly DelGrosso,7.0,6.0,7.0,,20.0,0,3rd Place,3,Singer/Rapper
1,5,John O'Hurley,Charlotte Jorgensen,9.0,9.0,9.0,,27.0,0,2nd Place,2,Actor/Actress
1,5,Kelly Monaco,Alec Mazo,8.5,7.5,7.5,,23.5,0,1st Place,1,Actor/Actress
1,5,Joey McIntyre,Ashly DelGrosso,8.5,7.0,7.0,,22.5,0,3rd Place,3,Singer/Rapper
1,6,Kelly Monaco,Alec Mazo,8.5,9.5,9.5,,27.5,0,1st Place,1,Actor/Actress
1,6,John O'Hurley,Charlotte Jorgensen,9.0,9.0,9.0,,27.0,0,2nd Place,2,Actor/Actress
2,1,Drew Lachey,Cheryl Burke,8.0,8.0,8.0,,24.0,0,1st Place,1,Singer/Rapper
2,1,Tatum O'Neal,Nick Kosovich,7.0,8.0,8.0,,23.0,0,Eliminated Week 2,9,Actor/Actress
2,1,Giselle Fernandez,Jonathan Roberts,7.0,8.0,8.0,,23.0,0,Eliminated Week 3,8,News Anchor
2,1,Stacy Keibler,Tony Dovolani,8.0,6.0,8.0,,22.0,0,3rd Place,3,Athlete
2,1,Jerry Rice,Anna Trebunskaya,7.0,7.0,7.0,,21.0,0,2nd Place,2,Athlete
2,1,Tia Carrere,Maksim Chmerkoskiy,6.0,7.0,7.0,,20.0,0,Eliminated Week 5,6,Actor/Actress
2,1,Lisa Rinna,Louis van Amstel,5.0,7.0,7.0,,19.0,0,Eliminated Week 7,4,Actor/Actress
2,1,George Hamilton,Edyta Sliwinska,7.0,5.0,6.0,,18.0,0,Eliminated Week 6,5,Actor/Actress
2,1,Kenny Mayne,Andrea Hale,4.0,5.0,4.0,,13.0,1,Eliminated Week 1,10,Sports Broadcaster
2,1,Master P,Ashly DelGrosso,4.0,4.0,4.0,,12.0,0,Eliminated Week 4,7,Singer/Rapper
2,2,Stacy Keibler,Tony Dovolani,9.0,10.0,10.0,,29.0,0,3rd Place,3,Athlete
2,2,Drew Lachey,Cheryl Burke,9.0,9.0,9.0,,27.0,0,1st Place,1,Singer/Rapper
2,2,Giselle Fernandez,Jonathan Roberts,8.0,8.0,8.0,,24.0,0,Eliminated Week 3,8,News Anchor
