season,week,celebrity_name,trend_mean,trend_sum,trend_max,n_days,season_start_est,season_end_est,source_file
21,1,Alek Skarlatos,2.0,20.0,14.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Alexa PenaVega,2.4,24.0,16.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Andy Grammer,1.9,19.0,14.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Bindi Irwin,11.7,117.0,58.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Carlos PenaVega,2.3,23.0,17.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Chaka Khan,1.528478790208894,15.28478790208894,11.463590926566706,10,2015-09-14,2015-11-24,21all.csv
21,1,Gary Busey,6.7,67.0,40.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Hayes Grier,6.8,68.0,34.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Nick Carter,4.5,45.0,29.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Paula Deen,4.872026143790849,48.7202614379085,24.83778034089453,10,2015-09-14,2015-11-24,21all.csv
21,1,Tamar Braxton,0.9,9.0,9.0,10,2015-09-14,2015-11-24,21all.csv
21,1,Victor Espinoza,0.0,0.0,0.0,10,2015-09-14,2015-11-24,21all.csv
21,2,Alek Skarlatos,1.5714285714285714,11.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Alexa PenaVega,3.142857142857143,22.0,9.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Andy Grammer,3.4285714285714284,24.0,16.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Bindi Irwin,11.428571428571429,80.0,32.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Carlos PenaVega,2.142857142857143,15.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Chaka Khan,1.9105984877611175,13.374189414327823,9.552992438805587,7,2015-09-14,2015-11-24,21all.csv
21,2,Gary Busey,5.714285714285714,40.0,22.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Hayes Grier,9.571428571428571,67.0,42.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Nick Carter,2.857142857142857,20.0,12.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Paula Deen,3.4117830138591385,23.88248109701397,9.552992438805587,7,2015-09-14,2015-11-24,21all.csv
21,2,Tamar Braxton,3.142857142857143,22.0,10.0,7,2015-09-14,2015-11-24,21all.csv
21,2,Victor Espinoza,1.9105984877611175,13.374189414327823,8.597693194925029,7,2015-09-14,2015-11-24,21all.csv
21,3,Alek Skarlatos,1.0,7.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Alexa PenaVega,0.7142857142857143,5.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Andy Grammer,1.2857142857142858,9.0,6.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Bindi Irwin,3.0,21.0,13.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Carlos PenaVega,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Gary Busey,1.4285714285714286,10.0,10.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Hayes Grier,2.0,14.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Nick Carter,1.0,7.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Paula Deen,1.0917705644349243,7.64239395104447,4.776496219402794,7,2015-09-14,2015-11-24,21all.csv
21,3,Tamar Braxton,0.7142857142857143,5.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,3,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Alek Skarlatos,1.0,7.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Alexa PenaVega,0.42857142857142855,3.0,3.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Andy Grammer,1.4285714285714286,10.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Bindi Irwin,9.571428571428571,67.0,34.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Carlos PenaVega,1.0,7.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Gary Busey,2.0,14.0,14.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Hayes Grier,2.4285714285714284,17.0,12.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Nick Carter,4.714285714285714,33.0,21.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Paula Deen,1.3647132055436553,9.552992438805587,9.552992438805587,7,2015-09-14,2015-11-24,21all.csv
21,4,Tamar Braxton,3.142857142857143,22.0,18.0,7,2015-09-14,2015-11-24,21all.csv
21,4,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Alek Skarlatos,1.2857142857142858,9.0,9.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Alexa PenaVega,0.8571428571428571,6.0,6.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Andy Grammer,1.2857142857142858,9.0,9.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Bindi Irwin,2.2857142857142856,16.0,13.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Carlos PenaVega,1.4285714285714286,10.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Hayes Grier,1.1428571428571428,8.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Nick Carter,0.7142857142857143,5.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Paula Deen,0.9552992438805589,6.687094707163912,6.687094707163912,7,2015-09-14,2015-11-24,21all.csv
21,5,Tamar Braxton,1.7142857142857142,12.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,5,Victor Espinoza,0.4094139616630966,2.8658977316416765,2.8658977316416765,7,2015-09-14,2015-11-24,21all.csv
21,6,Alek Skarlatos,0.5714285714285714,4.0,4.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Alexa PenaVega,1.1428571428571428,8.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Andy Grammer,1.5714285714285714,11.0,7.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Bindi Irwin,3.5714285714285716,25.0,17.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Carlos PenaVega,1.5714285714285714,11.0,11.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Hayes Grier,1.2857142857142858,9.0,9.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Nick Carter,1.1428571428571428,8.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Paula Deen,1.2282418849892898,8.597693194925029,8.597693194925029,7,2015-09-14,2015-11-24,21all.csv
21,6,Tamar Braxton,2.857142857142857,20.0,15.0,7,2015-09-14,2015-11-24,21all.csv
21,6,Victor Espinoza,0.4094139616630966,2.8658977316416765,2.8658977316416765,7,2015-09-14,2015-11-24,21all.csv
21,7,Alek Skarlatos,0.42857142857142855,3.0,3.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Alexa PenaVega,0.5714285714285714,4.0,4.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Andy Grammer,1.1428571428571428,8.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Bindi Irwin,8.714285714285714,61.0,23.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Carlos PenaVega,0.42857142857142855,3.0,3.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Hayes Grier,3.0,21.0,15.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Nick Carter,0.5714285714285714,4.0,4.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Paula Deen,0.4094139616630966,2.8658977316416765,2.8658977316416765,7,2015-09-14,2015-11-24,21all.csv
21,7,Tamar Braxton,1.2857142857142858,9.0,9.0,7,2015-09-14,2015-11-24,21all.csv
21,7,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Alek Skarlatos,2.0,14.0,10.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Alexa PenaVega,0.5714285714285714,4.0,4.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Andy Grammer,2.7142857142857144,19.0,16.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Bindi Irwin,12.142857142857142,85.0,23.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Carlos PenaVega,0.7142857142857143,5.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Hayes Grier,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Nick Carter,1.5714285714285714,11.0,11.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Paula Deen,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Tamar Braxton,1.4285714285714286,10.0,6.0,7,2015-09-14,2015-11-24,21all.csv
21,8,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Alek Skarlatos,1.2857142857142858,9.0,5.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Alexa PenaVega,3.7142857142857144,26.0,17.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Andy Grammer,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Bindi Irwin,11.428571428571429,80.0,39.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Carlos PenaVega,1.1428571428571428,8.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Hayes Grier,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Nick Carter,0.5714285714285714,4.0,4.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Paula Deen,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Tamar Braxton,15.142857142857142,106.0,35.0,7,2015-09-14,2015-11-24,21all.csv
21,9,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Alek Skarlatos,1.7142857142857142,12.0,12.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Alexa PenaVega,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Andy Grammer,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Bindi Irwin,4.571428571428571,32.0,18.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Carlos PenaVega,1.1428571428571428,8.0,8.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Chaka Khan,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Gary Busey,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Hayes Grier,0.42857142857142855,3.0,3.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Nick Carter,1.8571428571428572,13.0,13.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Paula Deen,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Tamar Braxton,2.2857142857142856,16.0,13.0,7,2015-09-14,2015-11-24,21all.csv
21,10,Victor Espinoza,0.0,0.0,0.0,7,2015-09-14,2015-11-24,21all.csv
21,11,Alek Skarlatos,9.2,46.0,26.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Alexa PenaVega,1.4,7.0,4.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Andy Grammer,1.8,9.0,9.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Bindi Irwin,41.8,209.0,100.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Carlos PenaVega,5.0,25.0,16.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Chaka Khan,0.764239395104447,3.821196975522235,3.821196975522235,5,2015-09-14,2015-11-24,21all.csv
21,11,Gary Busey,0.8,4.0,4.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Hayes Grier,1.6,8.0,8.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Nick Carter,8.4,42.0,25.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Paula Deen,0.0,0.0,0.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Tamar Braxton,1.6,8.0,8.0,5,2015-09-14,2015-11-24,21all.csv
21,11,Victor Espinoza,0.764239395104447,3.821196975522235,3.821196975522235,5,2015-09-14,2015-11-24,21all.csv
22,1,Antonio Brown,6.9,69.0,59.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Doug Flutie,4.652741514360313,46.52741514360313,38.77284595300261,10,2016-03-22,2016-05-24,22all.csv
22,1,Geraldo Rivera,4.342558746736293,43.425587467362924,29.467362924281986,10,2016-03-22,2016-05-24,22all.csv
22,1,Ginger Zee,9.2,92.0,67.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Jodie Sweetin,10.7,107.0,66.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Kim Fields,4.1,41.0,28.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Marla Maples,5.8,58.0,52.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Mischa Barton,9.150391644908616,91.50391644908616,57.38381201044386,10,2016-03-22,2016-05-24,22all.csv
22,1,Nyle DiMarco,9.1,91.0,61.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Paige VanZant,4.7,47.0,38.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Von Miller,6.7,67.0,40.0,10,2016-03-22,2016-05-24,22all.csv
22,1,Wanya Morris,2.0,20.0,20.0,10,2016-03-22,2016-05-24,22all.csv
22,2,Antonio Brown,8.714285714285714,61.0,36.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Doug Flutie,3.988064155165983,27.91644908616188,27.91644908616188,7,2016-03-22,2016-05-24,22all.csv
22,2,Geraldo Rivera,8.197687430063409,57.38381201044387,46.527415143603136,7,2016-03-22,2016-05-24,22all.csv
22,2,Ginger Zee,5.0,35.0,35.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Jodie Sweetin,6.714285714285714,47.0,30.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Kim Fields,4.142857142857143,29.0,29.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Marla Maples,4.571428571428571,32.0,32.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Mischa Barton,26.808653487504664,187.66057441253264,155.09138381201043,7,2016-03-22,2016-05-24,22all.csv
22,2,Nyle DiMarco,8.428571428571429,59.0,45.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Paige VanZant,8.714285714285714,61.0,61.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Von Miller,6.428571428571429,45.0,28.0,7,2016-03-22,2016-05-24,22all.csv
22,2,Wanya Morris,1.7142857142857142,12.0,12.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Antonio Brown,7.285714285714286,51.0,41.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Doug Flutie,3.1018276762402093,21.712793733681465,21.712793733681465,7,2016-03-22,2016-05-24,22all.csv
22,3,Geraldo Rivera,0.0,0.0,0.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Ginger Zee,4.857142857142857,34.0,26.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Jodie Sweetin,8.571428571428571,60.0,45.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Kim Fields,1.7142857142857142,12.0,12.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Marla Maples,2.7142857142857144,19.0,19.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Mischa Barton,13.293547183886607,93.05483028720626,51.18015665796344,7,2016-03-22,2016-05-24,22all.csv
22,3,Nyle DiMarco,4.857142857142857,34.0,27.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Paige VanZant,2.5714285714285716,18.0,18.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Von Miller,4.714285714285714,33.0,25.0,7,2016-03-22,2016-05-24,22all.csv
22,3,Wanya Morris,0.8571428571428571,6.0,6.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Antonio Brown,5.0,35.0,26.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Doug Flutie,1.9940320775829914,13.95822454308094,13.95822454308094,7,2016-03-22,2016-05-24,22all.csv
22,4,Geraldo Rivera,0.0,0.0,0.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Ginger Zee,2.857142857142857,20.0,20.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Jodie Sweetin,3.7142857142857144,26.0,26.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Kim Fields,3.0,21.0,21.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Marla Maples,4.285714285714286,30.0,30.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Mischa Barton,1.329354718388661,9.305483028720626,9.305483028720626,7,2016-03-22,2016-05-24,22all.csv
22,4,Nyle DiMarco,8.142857142857142,57.0,43.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Paige VanZant,4.428571428571429,31.0,24.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Von Miller,3.7142857142857144,26.0,26.0,7,2016-03-22,2016-05-24,22all.csv
22,4,Wanya Morris,1.0,7.0,7.0,7,2016-03-22,2016-05-24,22all.csv
22,5,Antonio Brown,3.5714285714285716,25.0,25.0,7,2016-03-22,2016-05-24,22all.csv
