season,team_id,Z_mean,Z_max_abs,frac_outlier_90,frac_outlier_95,n_weeks
1,Evander Holyfield__Edyta Sliwinska,1.1391579707463582,1.390244483947754,0.0,0.0,3
1,Joey McIntyre__Ashly DelGrosso,0.9115625500679017,1.4187378883361816,0.0,0.0,5
1,John O'Hurley__Charlotte Jorgensen,-0.6366227865219116,1.1353211402893066,0.0,0.0,6
1,Kelly Monaco__Alec Mazo,0.5269820317626,1.449898362159729,0.0,0.0,6
1,Rachel Hunter__Jonathan Roberts,-1.4430977404117584,1.5988508462905884,0.0,0.0,4
1,Trista Sutter__Louis van Amstel,-0.772525429725647,0.9395283460617065,0.0,0.0,2
2,Drew Lachey__Cheryl Burke,-0.706791490316391,0.9623981714248657,0.0,0.0,8
2,George Hamilton__Edyta Sliwinska,0.3232545331120491,0.737826943397522,0.0,0.0,6
2,Giselle Fernandez__Jonathan Roberts,-1.0093075633049011,1.2902013063430786,0.0,0.0,3
2,Jerry Rice__Anna Trebunskaya,1.0302727650851011,1.7131199836730957,0.125,0.0,8
2,Kenny Mayne__Andrea Hale,1.2874218225479126,1.2874218225479126,0.0,0.0,1
2,Lisa Rinna__Louis van Amstel,-0.5814814700612,0.8112888932228088,0.0,0.0,7
2,Master P__Ashly DelGrosso,2.1222397685050964,2.2216994762420654,1.0,1.0,4
2,Stacy Keibler__Tony Dovolani,-0.9229108095169067,1.4318914413452148,0.0,0.0,8
2,Tatum O'Neal__Nick Kosovich,0.11043623089790344,0.89316725730896,0.0,0.0,2
2,Tia Carrere__Maksim Chmerkoskiy,-0.008610302209854126,0.773719072341919,0.0,0.0,5
3,Emmitt Smith__Cheryl Burke,0.6786972239613533,1.4399915933609009,0.0,0.0,10
3,Harry Hamlin__Ashly DelGrosso,-0.6262387931346893,1.1522153615951538,0.0,0.0,3
3,Jerry Springer__Kym Johnson,1.059004177206329,1.6874662637710571,0.14285714285714285,0.0,7
3,Joey Lawrence__Edyta Sliwinska,0.044270417342583336,1.4141430854797363,0.0,0.0,9
3,Mario Lopez__Karina Smirnoff,0.13158818972297012,1.2418221235275269,0.0,0.0,10
3,Monique Coleman__Louis van Amstel,-0.7414308376610279,1.8821429014205933,0.375,0.0,8
3,Sara Evans__Tony Dovolani,0.8941702807787806,1.7784453630447388,0.2,0.0,5
3,Shanna Moakler__Jesse DeSoto,-1.1098807454109192,1.3635491132736206,0.0,0.0,2
3,Tucker Carlson__Elena Grinenko,0.7973189353942871,0.7973189353942871,0.0,0.0,1
3,Vivica A. Fox__Nick Kosovich,-1.3274717032909393,1.6821231842041016,0.25,0.0,4
3,Willa Ford__Maksim Chmerkoskiy,-1.168535089492798,2.1788089275360107,0.2,0.2,5
4,Apolo Anton Ohno__Julianne Hough,-0.16573865562677384,1.1486567258834839,0.0,0.0,10
4,Billy Ray Cyrus__Karina Smirnoff,1.477586917579174,2.013960599899292,0.5,0.125,8
4,Clyde Drexler__Elena Grinenko,1.421989095211029,1.713539481163025,0.4,0.0,5
4,Heather Mills__Jonathan Roberts,-0.6732954730590185,1.1056196689605713,0.0,0.0,6
4,Ian Ziering__Cheryl Burke,-0.35708850456608665,1.6794369220733643,0.1111111111111111,0.0,9
4,Joey Fatone__Kym Johnson,-0.8666951537132264,1.6192110776901245,0.0,0.0,10
4,John Ratzenberger__Edyta Sliwinska,0.9607461307729993,1.3620498180389404,0.0,0.0,7
4,Laila Ali__Maksim Chmerkoskiy,-0.13918765783309936,0.7754027843475342,0.0,0.0,10
4,Leeza Gibbons__Tony Dovolani,0.09651925042271614,0.8805558681488037,0.0,0.0,4
4,Paulina Porizkova__Alec Mazo,-1.7209688425064087,1.8574475049972534,0.5,0.0,2
4,Shandi Finnessey__Brian Fortuna,-1.2100730141003926,1.6438472270965576,0.0,0.0,3
5,Albert Reed__Anna Trebunskaya,-1.7142662405967712,1.828904390335083,0.5,0.0,2
5,Cameron Mathison__Edyta Sliwinska,0.11630686325952411,1.1629613637924194,0.0,0.0,8
5,Floyd Mayweather Jr. __Karina Smirnoff,-0.11268667131662369,0.9255288243293762,0.0,0.0,4
5,Helio Castroneves__Julianne Hough,-0.03458758965134621,0.9539740085601807,0.0,0.0,10
5,Jane Seymour__Tony Dovolani,-0.5662129840680531,1.7667057514190674,0.14285714285714285,0.0,7
5,Jennie Garth__Derek Hough,-0.0169996480560965,1.3592593669891357,0.0,0.0,9
5,Josie Maran__Alec Mazo,-0.07663164287805557,0.07663164287805557,0.0,0.0,1
5,Marie Osmond__Jonathan Roberts,1.5049754977226257,2.000392436981201,0.4,0.2,10
5,Mark Cuban__Kym Johnson,0.5356370836496354,1.1178498268127441,0.0,0.0,5
5,Mel B__Maksim Chmerkoskiy,-0.1719462839886546,0.774382472038269,0.0,0.0,10
5,Sabrina Bryan__Mark Ballas,-1.8224287629127502,2.1818645000457764,0.6666666666666666,0.3333333333333333,6
5,Wayne Newton__Cheryl Burke,0.8046380082766215,1.2910184860229492,0.0,0.0,3
6,Adam Carolla__Julianne Hough,0.5450996272265911,1.3291300535202026,0.0,0.0,4
6,Cristian de la Fuente__Cheryl Burke,0.5536447416990995,1.7777276039123535,0.2,0.0,10
6,Jason Taylor__Edyta Sliwinska,0.2500490456819534,1.3501555919647217,0.0,0.0,10
6,Kristi Yamaguchi__Mark Ballas,-0.49120148569345473,1.383078694343567,0.0,0.0,10
6,Mario__Karina Smirnoff,-0.9834915604442358,1.6976784467697144,0.125,0.0,8
6,Marissa Jaret Winokur__Tony Dovolani,1.0538312660323248,2.0448262691497803,0.3333333333333333,0.1111111111111111,9
6,Marlee Matlin__Fabian Sanchez,0.2652084728082021,0.7267923951148987,0.0,0.0,6
6,Monica Seles__Jonathan Roberts,0.8614247441291809,1.0664832592010498,0.0,0.0,2
6,Penn Jillette__Kym Johnson,0.022260979283601046,0.030869262292981148,0.0,0.0,2
6,Priscilla Presley__Louis van Amstel,-0.642460498213768,1.3376545906066895,0.0,0.0,5
6,Shannon Elizabeth__Derek Hough,-0.6858771786126974,1.7695655822753906,0.14285714285714285,0.0,7
6,Steve Guttenberg__Anna Trebunskaya,-0.7556831960876783,1.5239092111587524,0.0,0.0,3
7,Brooke Burke__Derek Hough,-0.3819518119096756,1.2577868700027466,0.0,0.0,10
7,Cloris Leachman__Corky Ballas,1.5074439545472462,2.0839390754699707,0.6666666666666666,0.5,6
7,Cody Linley__Julianne Hough,-0.06911126368989547,1.273148775100708,0.0,0.0,9
7,Jeffrey Ross__Edyta Sliwinska,1.3964112997055054,1.3964112997055054,0.0,0.0,1
7,Kim Kardashian__Mark Ballas,-0.9998376369476318,1.0734409093856812,0.0,0.0,2
7,Lance Bass__Lacey Schwimmer,0.27434428883716466,1.8668930530548096,0.1,0.0,10
7,Maurice Greene__Cheryl Burke,0.0048572830855846405,1.7345339059829712,0.125,0.0,8
7,Misty May-Treanor__Maksim Chmerkoskiy,-0.3861986994743347,0.40127936005592346,0.0,0.0,2
7,Rocco DiSpirito__Karina Smirnoff,0.1709596887230873,1.20954430103302,0.0,0.0,4
7,Susan Lucci__Tony Dovolani,-0.7390995472669601,1.482542872428894,0.0,0.0,7
7,Ted McGinley__Inna Brayer,-1.5553770065307617,1.5553770065307617,0.0,0.0,1
7,Toni Braxton__Alec Mazo,-1.312626314163208,1.4626526832580566,0.0,0.0,5
7,Warren Sapp__Kym Johnson,0.659858337789774,1.6522854566574097,0.1,0.0,10
8,Belinda Carlisle__Jonathan Roberts,-1.413309395313263,1.4325615167617798,0.0,0.0,2
8,Chuck Wicks__Julianne Hough,-0.5568009978160262,1.6032166481018066,0.0,0.0,8
8,David Alan Grier__Kym Johnson,-0.7742977738380432,1.3754994869232178,0.0,0.0,5
8,Denise Richards__Maksim Chmerkoskiy,-0.6518741001685461,1.1724071502685547,0.0,0.0,3
8,Gilles Marini__Cheryl Burke,-1.01413803208958,1.4873183965682983,0.0,0.0,11
8,Holly Madison__Dmitry Chaplin,0.4438855741173029,0.6447136998176575,0.0,0.0,4
8,Lawrence Taylor__Edyta Sliwinska,0.6406544297933578,1.1362576484680176,0.0,0.0,7
8,Lil' Kim__Derek Hough,-0.9731886386871338,1.4481375217437744,0.0,0.0,9
8,Melissa Rycroft__Tony Dovolani,0.23686334423043512,1.671837329864502,0.09090909090909091,0.0,11
8,Shawn Johnson__Mark Ballas,-0.2037937194108963,0.7029229998588562,0.0,0.0,11
8,Steve Wozniak__Karina Smirnoff,1.5690613389015198,2.168635129928589,0.5,0.25,4
8,Steve-O__Lacey Schwimmer,1.234782616297404,1.9868870973587036,0.16666666666666666,0.16666666666666666,6
8,Ty Murray__Chelsie Hightower,1.2713523551821708,2.0692086219787598,0.3,0.2,10
9,Aaron Carter__Karina Smirnoff,-0.5616388963535428,1.468145489692688,0.0,0.0,8
9,Ashley Hamiliton__Edyta Sliwinska,0.14607883989810944,0.14607883989810944,0.0,0.0,1
9,Chuck Liddell__Anna Trebunskaya,0.015652190893888474,0.3451538383960724,0.0,0.0,4
9,Debi Mazar__Maksim Chmerkoskiy,-0.6528866142034531,1.1740220785140991,0.0,0.0,3
9,Donny Osmond__Kym Johnson,0.45560056436806917,1.4215959310531616,0.0,0.0,10
9,Joanna Krupa__Derek Hough,-0.8508736615379652,1.841331958770752,0.1111111111111111,0.0,9
9,Kathy Ireland__Tony Dovolani,-0.7308840751647949,1.171160340309143,0.0,0.0,2
9,Kelly Osbourne__Louis van Amstel,0.8716082260012626,1.69110906124115,0.1,0.0,10
9,Louie Vito__Chelsie Hightower,0.6832723071177801,1.363357663154602,0.0,0.0,6
9,Macy Gray__Jonathan Roberts,0.08843829482793808,0.08843829482793808,0.0,0.0,1
9,Mark Dacascos__Lacey Schwimmer,0.02157819696835109,0.8148324489593506,0.0,0.0,7
9,Melissa Joan Hart__Mark Ballas,0.12324957108163896,1.28635573387146,0.0,0.0,6
9,Michael Irvin__Anna Demidova,1.189566433429718,2.191676378250122,0.14285714285714285,0.14285714285714285,7
9,Mya__Dmitry Chaplin,-0.8769227504730225,1.4619319438934326,0.0,0.0,10
9,Natalie Coughlin__Alec Mazo,-1.4003604292869567,2.0847327709198,0.4,0.2,5
9,Tom DeLay__Cheryl Burke,1.4853578805923462,1.9162960052490234,0.3333333333333333,0.0,3
10,Aiden Turner__Edyta Sliwinska,0.05813371762633324,0.8369603157043457,0.0,0.0,4
10,Buzz Aldrin__Ashly DelGrosso,1.2809466918309529,1.4615522623062134,0.0,0.0,3
10,Chad Ochocinco__Cheryl Burke,0.8880009022023942,1.6434584856033325,0.0,0.0,9
10,Erin Andrews__Maksim Chmerkoskiy,0.14489475265145302,0.9836986064910889,0.0,0.0,10
10,Evan Lysacek__Anna Trebunskaya,-0.4045338466763496,1.5741087198257446,0.0,0.0,10
10,Jake Pavelka__Chelsie Hightower,-0.5406499281525612,1.0620536804199219,0.0,0.0,6
10,Kate Gosselin__Tony Dovolani,1.1710885047912598,1.67765474319458,0.2,0.0,5
10,Nicole Scherzinger__Derek Hough,-0.6274517618119717,1.373145580291748,0.0,0.0,10
10,Niecy Nash__Louis van Amstel,0.6167607487295754,1.4069230556488037,0.0,0.0,8
10,Pamela Anderson__Damian Whitewood,-1.024616232940129,1.9817957878112793,0.14285714285714285,0.14285714285714285,7
10,Shannen Doherty__Mark Ballas,-1.7848949432373047,1.8724968433380127,1.0,0.0,2
11,Audrina Patridge__Tony Dovolani,-1.5107607344786327,2.169071912765503,0.3333333333333333,0.3333333333333333,6
11,Brandy__Maksim Chmerkoskiy,-0.8279957473278046,1.215151071548462,0.0,0.0,9
11,Bristol Palin__Mark Ballas,1.4140808075666427,2.167583465576172,0.5,0.1,10
11,David Hasselhoff__Kym Johnson,-0.6015207767486572,0.6015207767486572,0.0,0.0,1
11,Florence Henderson__Corky Ballas,-0.04400966390967369,0.7481340169906616,0.0,0.0,5
11,Jennifer Grey__Derek Hough,-0.2849542902782559,1.31830632686615,0.0,0.0,10
11,Kurt Warner__Anna Trebunskaya,0.4288072707131505,1.3312134742736816,0.0,0.0,8
11,Kyle Massey__Lacey Schwimmer,0.23987987637519836,1.3182363510131836,0.0,0.0,10
11,Margaret Cho__Louis van Amstel,0.0970243513584137,0.8081058859825134,0.0,0.0,3
11,Michael Bolton__Chelsie Hightower,1.1857558488845825,1.9221100807189941,0.5,0.0,2
11,Rick Fox__Cheryl Burke,-0.8071866567645755,1.69847571849823,0.14285714285714285,0.0,7
11,The Situation__Karina Smirnoff,0.801323838531971,1.5783261060714722,0.0,0.0,4
12,Chelsea Kane__Mark Ballas,-0.33702993839979173,1.3964359760284424,0.0,0.0,10
