season,week,K,n_people,any_diff,symm_diff,diff_rate_people,diff_rate_elim
1,2,1,6,False,0,0.0,0.0
1,3,1,5,False,0,0.0,0.0
1,4,1,4,False,0,0.0,0.0
1,5,1,3,True,2,0.6666666666666666,1.0
2,1,1,10,False,0,0.0,0.0
2,2,1,9,False,0,0.0,0.0
2,3,1,8,False,0,0.0,0.0
2,4,1,7,False,0,0.0,0.0
2,5,1,6,True,2,0.3333333333333333,1.0
2,6,1,5,True,2,0.4,1.0
2,7,1,4,False,0,0.0,0.0
3,1,1,11,False,0,0.0,0.0
3,2,1,10,True,2,0.2,1.0
3,3,1,9,False,0,0.0,0.0
3,4,1,8,False,0,0.0,0.0
3,5,1,6,True,2,0.3333333333333333,1.0
3,7,1,5,False,0,0.0,0.0
3,8,1,4,False,0,0.0,0.0
3,9,1,3,False,0,0.0,0.0
4,2,1,11,False,0,0.0,0.0
4,3,1,10,False,0,0.0,0.0
4,4,1,9,False,0,0.0,0.0
4,5,1,8,False,0,0.0,0.0
4,6,1,7,False,0,0.0,0.0
4,7,1,6,False,0,0.0,0.0
4,8,1,5,False,0,0.0,0.0
4,9,1,4,False,0,0.0,0.0
5,1,1,12,False,0,0.0,0.0
5,2,1,11,False,0,0.0,0.0
5,3,1,10,False,0,0.0,0.0
5,4,1,9,False,0,0.0,0.0
5,5,1,8,False,0,0.0,0.0
5,6,1,7,True,2,0.2857142857142857,1.0
5,7,1,6,False,0,0.0,0.0
5,8,1,5,False,0,0.0,0.0
5,9,1,4,False,0,0.0,0.0
6,2,2,12,True,2,0.16666666666666666,0.5
6,3,1,10,False,0,0.0,0.0
6,4,1,9,False,0,0.0,0.0
6,5,1,8,False,0,0.0,0.0
6,6,1,7,False,0,0.0,0.0
6,7,1,6,False,0,0.0,0.0
6,8,1,5,False,0,0.0,0.0
6,9,1,4,False,0,0.0,0.0
7,1,2,13,False,0,0.0,0.0
7,2,1,10,False,0,0.0,0.0
7,4,1,9,False,0,0.0,0.0
7,5,1,8,True,2,0.25,1.0
7,6,1,7,False,0,0.0,0.0
7,7,1,6,False,0,0.0,0.0
7,8,1,5,False,0,0.0,0.0
7,9,1,4,False,0,0.0,0.0
8,2,1,13,False,0,0.0,0.0
8,3,1,12,False,0,0.0,0.0
8,4,2,11,False,0,0.0,0.0
8,5,1,9,True,2,0.2222222222222222,1.0
8,6,1,8,False,0,0.0,0.0
8,7,1,7,False,0,0.0,0.0
8,8,1,6,False,0,0.0,0.0
8,9,1,5,False,0,0.0,0.0
8,10,1,4,False,0,0.0,0.0
9,1,2,16,False,0,0.0,0.0
9,2,1,14,False,0,0.0,0.0
9,3,1,12,False,0,0.0,0.0
9,4,1,11,False,0,0.0,0.0
9,5,1,10,False,0,0.0,0.0
9,6,2,9,True,2,0.2222222222222222,0.5
9,7,2,7,False,0,0.0,0.0
9,8,1,5,False,0,0.0,0.0
9,9,1,4,False,0,0.0,0.0
10,2,1,11,False,0,0.0,0.0
10,3,1,10,False,0,0.0,0.0
10,4,1,9,False,0,0.0,0.0
10,5,1,8,False,0,0.0,0.0
10,6,1,7,False,0,0.0,0.0
10,7,1,6,False,0,0.0,0.0
10,8,1,5,False,0,0.0,0.0
10,9,1,4,False,0,0.0,0.0
11,1,1,12,False,0,0.0,0.0
11,2,1,11,False,0,0.0,0.0
11,3,1,10,False,0,0.0,0.0
11,4,1,9,False,0,0.0,0.0
11,5,1,8,False,0,0.0,0.0
11,6,1,7,True,2,0.2857142857142857,1.0
11,7,1,6,False,0,0.0,0.0
11,8,1,5,False,0,0.0,0.0
11,9,1,4,False,0,0.0,0.0
12,2,1,11,False,0,0.0,0.0
12,3,1,10,False,0,0.0,0.0
12,4,1,9,False,0,0.0,0.0
12,5,1,8,False,0,0.0,0.0
12,6,1,7,False,0,0.0,0.0
12,7,1,6,True,2,0.3333333333333333,1.0
12,8,1,5,False,0,0.0,0.0
12,9,1,4,False,0,0.0,0.0
13,1,1,12,False,0,0.0,0.0
13,2,1,11,True,2,0.18181818181818182,1.0
13,3,1,10,True,2,0.2,1.0
13,4,1,9,False,0,0.0,0.0
13,5,1,8,False,0,0.0,0.0
13,6,1,7,False,0,0.0,0.0
13,7,1,6,False,0,0.0,0.0
13,8,1,5,False,0,0.0,0.0
13,9,1,4,False,0,0.0,0.0
14,2,1,12,False,0,0.0,0.0
14,3,1,11,True,2,0.18181818181818182,1.0
14,4,1,10,False,0,0.0,0.0
14,5,1,9,False,0,0.0,0.0
14,6,1,8,False,0,0.0,0.0
14,7,1,7,False,0,0.0,0.0
14,8,2,6,True,2,0.3333333333333333,0.5
14,9,1,4,False,0,0.0,0.0
15,1,1,13,False,0,0.0,0.0
15,2,1,12,False,0,0.0,0.0
15,3,2,11,True,2,0.18181818181818182,0.5
15,4,1,9,False,0,0.0,0.0
15,6,1,8,True,2,0.25,1.0
15,8,2,7,False,0,0.0,0.0
15,9,2,5,False,0,0.0,0.0
16,3,1,11,False,0,0.0,0.0
16,4,1,10,False,0,0.0,0.0
16,5,1,9,False,0,0.0,0.0
16,6,1,8,False,0,0.0,0.0
16,7,1,7,False,0,0.0,0.0
16,8,1,6,False,0,0.0,0.0
16,9,1,5,False,0,0.0,0.0
17,2,1,12,False,0,0.0,0.0
17,3,1,11,False,0,0.0,0.0
17,4,1,10,False,0,0.0,0.0
17,5,1,9,True,2,0.2222222222222222,1.0
17,7,1,8,False,0,0.0,0.0
17,8,1,7,False,0,0.0,0.0
17,9,1,6,True,2,0.3333333333333333,1.0
17,10,1,5,False,0,0.0,0.0
18,1,1,12,False,0,0.0,0.0
18,2,1,10,True,2,0.2,1.0
18,5,1,9,False,0,0.0,0.0
18,6,1,8,False,0,0.0,0.0
18,7,1,7,False,0,0.0,0.0
18,8,1,6,False,0,0.0,0.0
18,9,1,5,False,0,0.0,0.0
19,1,1,13,False,0,0.0,0.0
19,2,1,12,True,2,0.16666666666666666,1.0
19,3,1,11,False,0,0.0,0.0
19,4,1,10,True,2,0.2,1.0
19,6,1,9,True,2,0.2222222222222222,1.0
19,7,1,8,False,0,0.0,0.0
19,8,1,7,False,0,0.0,0.0
19,9,1,6,False,0,0.0,0.0
19,10,1,5,False,0,0.0,0.0
20,2,1,12,True,2,0.16666666666666666,1.0
20,3,1,11,False,0,0.0,0.0
20,4,1,10,True,2,0.2,1.0
20,5,1,9,True,2,0.2222222222222222,1.0
20,6,1,8,False,0,0.0,0.0
20,7,1,7,True,2,0.2857142857142857,1.0
20,8,2,6,False,0,0.0,0.0
20,9,1,4,False,0,0.0,0.0
21,2,2,12,False,0,0.0,0.0
21,4,1,10,False,0,0.0,0.0
21,6,1,9,False,0,0.0,0.0
21,7,1,8,True,2,0.25,1.0
21,8,1,7,False,0,0.0,0.0
21,9,1,5,False,0,0.0,0.0
